gdb-peda$ disas 0x4ac059 (just sent "POST ..")
Dump of assembler code for function httpd_helper_thread:
   0x00000000004abed0 <+0>:	push   r15
   0x00000000004abed2 <+2>:	push   r14
   0x00000000004abed4 <+4>:	push   r13
   0x00000000004abed6 <+6>:	push   r12
   0x00000000004abed8 <+8>:	push   rbp
   0x00000000004abed9 <+9>:	mov    rbp,rdi
   0x00000000004abedc <+12>:	push   rbx
   0x00000000004abedd <+13>:	sub    rsp,0x2058
   0x00000000004abee4 <+20>:	mov    rax,QWORD PTR fs:0x28
   0x00000000004abeed <+29>:	mov    QWORD PTR [rsp+0x2048],rax
   0x00000000004abef5 <+37>:	xor    eax,eax
   0x00000000004abef7 <+39>:	mov    al,0x1
   0x00000000004abef9 <+41>:	lock xadd DWORD PTR [rip+0x31ca63],eax        # 0x7c8964 <session_count>
   0x00000000004abf01 <+49>:	cmp    DWORD PTR [rip+0x304051],eax        # 0x7aff58 <session_limit>
   0x00000000004abf07 <+55>:	jg     0x4abf58 <httpd_helper_thread+136>
   0x00000000004abf09 <+57>:	lock dec DWORD PTR [rip+0x31ca54]        # 0x7c8964 <session_count>
   0x00000000004abf10 <+64>:	mov    rdi,QWORD PTR [rbp+0x0]
   0x00000000004abf14 <+68>:	test   rdi,rdi
   0x00000000004abf17 <+71>:	je     0x4abf1e <httpd_helper_thread+78>
   0x00000000004abf19 <+73>:	call   0x41d830 <fclose@plt>
   0x00000000004abf1e <+78>:	mov    esi,0xffffffff
   0x00000000004abf23 <+83>:	mov    rdi,rbp
   0x00000000004abf26 <+86>:	call   0x43cc10 <__ao2_ref>
   0x00000000004abf2b <+91>:	xor    eax,eax
   0x00000000004abf2d <+93>:	mov    rdx,QWORD PTR [rsp+0x2048]
   0x00000000004abf35 <+101>:	xor    rdx,QWORD PTR fs:0x28
   0x00000000004abf3e <+110>:	jne    0x4ac69e <httpd_helper_thread+1998>
   0x00000000004abf44 <+116>:	add    rsp,0x2058
   0x00000000004abf4b <+123>:	pop    rbx
   0x00000000004abf4c <+124>:	pop    rbp
   0x00000000004abf4d <+125>:	pop    r12
   0x00000000004abf4f <+127>:	pop    r13
   0x00000000004abf51 <+129>:	pop    r14
   0x00000000004abf53 <+131>:	pop    r15
   0x00000000004abf55 <+133>:	ret    
   0x00000000004abf56 <+134>:	xchg   ax,ax
   0x00000000004abf58 <+136>:	mov    rdx,QWORD PTR [rdi]
   0x00000000004abf5b <+139>:	lea    rdi,[rsp+0x40]
   0x00000000004abf60 <+144>:	mov    esi,0x1000
   0x00000000004abf65 <+149>:	call   0x41e050 <fgets@plt>
   0x00000000004abf6a <+154>:	test   rax,rax
   0x00000000004abf6d <+157>:	je     0x4abf09 <httpd_helper_thread+57>
   0x00000000004abf6f <+159>:	movzx  eax,BYTE PTR [rsp+0x40]
   0x00000000004abf74 <+164>:	lea    r12,[rsp+0x40]
   0x00000000004abf79 <+169>:	lea    edx,[rax-0x1]
   0x00000000004abf7c <+172>:	cmp    dl,0x1f
   0x00000000004abf7f <+175>:	ja     0x4abf98 <httpd_helper_thread+200>
   0x00000000004abf81 <+177>:	nop    DWORD PTR [rax+0x0]
   0x00000000004abf88 <+184>:	inc    r12
   0x00000000004abf8b <+187>:	movzx  eax,BYTE PTR [r12]
   0x00000000004abf90 <+192>:	lea    edx,[rax-0x1]
   0x00000000004abf93 <+195>:	cmp    dl,0x1f
   0x00000000004abf96 <+198>:	jbe    0x4abf88 <httpd_helper_thread+184>
   0x00000000004abf98 <+200>:	cmp    al,0x20
   0x00000000004abf9a <+202>:	mov    rbx,r12
   0x00000000004abf9d <+205>:	jbe    0x4abfaa <httpd_helper_thread+218>
   0x00000000004abf9f <+207>:	nop
   0x00000000004abfa0 <+208>:	inc    rbx
   0x00000000004abfa3 <+211>:	movzx  eax,BYTE PTR [rbx]
   0x00000000004abfa6 <+214>:	cmp    al,0x20
   0x00000000004abfa8 <+216>:	ja     0x4abfa0 <httpd_helper_thread+208>
   0x00000000004abfaa <+218>:	test   al,al
   0x00000000004abfac <+220>:	je     0x4abfb4 <httpd_helper_thread+228>
   0x00000000004abfae <+222>:	mov    BYTE PTR [rbx],0x0
   0x00000000004abfb1 <+225>:	inc    rbx
   0x00000000004abfb4 <+228>:	mov    esi,0x55e935
   0x00000000004abfb9 <+233>:	mov    rdi,r12
   0x00000000004abfbc <+236>:	call   0x41d950 <strcasecmp@plt>
   0x00000000004abfc1 <+241>:	test   eax,eax
   0x00000000004abfc3 <+243>:	mov    DWORD PTR [rsp+0x2c],0x0
   0x00000000004abfcb <+251>:	je     0x4ac023 <httpd_helper_thread+339>
   0x00000000004abfcd <+253>:	mov    esi,0x55e939
   0x00000000004abfd2 <+258>:	mov    rdi,r12
   0x00000000004abfd5 <+261>:	call   0x41d950 <strcasecmp@plt>
   0x00000000004abfda <+266>:	test   eax,eax
   0x00000000004abfdc <+268>:	mov    DWORD PTR [rsp+0x2c],0x1
   0x00000000004abfe4 <+276>:	je     0x4ac023 <httpd_helper_thread+339>
   0x00000000004abfe6 <+278>:	mov    esi,0x55e93e
   0x00000000004abfeb <+283>:	mov    rdi,r12
   0x00000000004abfee <+286>:	call   0x41d950 <strcasecmp@plt>
   0x00000000004abff3 <+291>:	test   eax,eax
   0x00000000004abff5 <+293>:	mov    DWORD PTR [rsp+0x2c],0x2
   0x00000000004abffd <+301>:	je     0x4ac023 <httpd_helper_thread+339>
   0x00000000004abfff <+303>:	mov    esi,0x5570c2
   0x00000000004ac004 <+308>:	mov    rdi,r12
   0x00000000004ac007 <+311>:	call   0x41d950 <strcasecmp@plt>
   0x00000000004ac00c <+316>:	cmp    eax,0x1
   0x00000000004ac00f <+319>:	sbb    edx,edx
   0x00000000004ac011 <+321>:	and    edx,0x4
   0x00000000004ac014 <+324>:	dec    edx
   0x00000000004ac016 <+326>:	mov    DWORD PTR [rsp+0x2c],edx
   0x00000000004ac01a <+330>:	jmp    0x4ac023 <httpd_helper_thread+339>
   0x00000000004ac01c <+332>:	nop    DWORD PTR [rax+0x0]
   0x00000000004ac020 <+336>:	inc    rbx
   0x00000000004ac023 <+339>:	movzx  eax,BYTE PTR [rbx]
   0x00000000004ac026 <+342>:	lea    edx,[rax-0x1]
   0x00000000004ac029 <+345>:	cmp    dl,0x1f
   0x00000000004ac02c <+348>:	jbe    0x4ac020 <httpd_helper_thread+336>
   0x00000000004ac02e <+350>:	test   al,al
   0x00000000004ac030 <+352>:	jne    0x4ac2c6 <httpd_helper_thread+1014>
   0x00000000004ac036 <+358>:	lea    r12,[rsp+0x1040]
   0x00000000004ac03e <+366>:	xor    r14d,r14d
   0x00000000004ac041 <+369>:	xor    r13d,r13d
   0x00000000004ac044 <+372>:	nop    DWORD PTR [rax+0x0]
   0x00000000004ac048 <+376>:	mov    rdx,QWORD PTR [rbp+0x0]
   0x00000000004ac04c <+380>:	mov    esi,0x1000
   0x00000000004ac051 <+385>:	mov    rdi,r12
   0x00000000004ac054 <+388>:	call   0x41e050 <fgets@plt>
   0x00000000004ac059 <+393>:	test   rax,rax
   0x00000000004ac05c <+396>:	je     0x4ac0ca <httpd_helper_thread+506>
   0x00000000004ac05e <+398>:	mov    rdx,r12
   0x00000000004ac061 <+401>:	mov    ecx,DWORD PTR [rdx]
   0x00000000004ac063 <+403>:	add    rdx,0x4
   0x00000000004ac067 <+407>:	lea    eax,[rcx-0x1010101]
   0x00000000004ac06d <+413>:	not    ecx
   0x00000000004ac06f <+415>:	and    eax,ecx
   0x00000000004ac071 <+417>:	and    eax,0x80808080
   0x00000000004ac076 <+422>:	je     0x4ac061 <httpd_helper_thread+401>
   0x00000000004ac078 <+424>:	mov    ecx,eax
   0x00000000004ac07a <+426>:	shr    ecx,0x10
   0x00000000004ac07d <+429>:	test   eax,0x8080
   0x00000000004ac082 <+434>:	cmove  eax,ecx
   0x00000000004ac085 <+437>:	lea    rcx,[rdx+0x2]
   0x00000000004ac089 <+441>:	cmove  rdx,rcx
   0x00000000004ac08d <+445>:	add    al,al
   0x00000000004ac08f <+447>:	mov    rax,r12
   0x00000000004ac092 <+450>:	sbb    rdx,0x3
   0x00000000004ac096 <+454>:	sub    rdx,r12
   0x00000000004ac099 <+457>:	dec    rdx
   0x00000000004ac09c <+460>:	add    rax,rdx
   0x00000000004ac09f <+463>:	jb     0x4ac0c0 <httpd_helper_thread+496>
   0x00000000004ac0a1 <+465>:	cmp    BYTE PTR [rsp+rdx*1+0x1040],0x20
   0x00000000004ac0a9 <+473>:	jbe    0x4ac0b5 <httpd_helper_thread+485>
   0x00000000004ac0ab <+475>:	jmp    0x4ac0c0 <httpd_helper_thread+496>
   0x00000000004ac0ad <+477>:	nop    DWORD PTR [rax]
   0x00000000004ac0b0 <+480>:	cmp    BYTE PTR [rax],0x20
   0x00000000004ac0b3 <+483>:	ja     0x4ac0c0 <httpd_helper_thread+496>
   0x00000000004ac0b5 <+485>:	mov    BYTE PTR [rax],0x0
   0x00000000004ac0b8 <+488>:	dec    rax
   0x00000000004ac0bb <+491>:	cmp    rax,r12
   0x00000000004ac0be <+494>:	jae    0x4ac0b0 <httpd_helper_thread+480>
   0x00000000004ac0c0 <+496>:	cmp    BYTE PTR [rsp+0x1040],0x0
   0x00000000004ac0c8 <+504>:	jne    0x4ac108 <httpd_helper_thread+568>
   0x00000000004ac0ca <+506>:	cmp    BYTE PTR [rbx],0x0
   0x00000000004ac0cd <+509>:	jne    0x4ac1e2 <httpd_helper_thread+786>
   0x00000000004ac0d3 <+515>:	mov    ecx,0x55e943
   0x00000000004ac0d8 <+520>:	mov    edx,0x55e953
   0x00000000004ac0dd <+525>:	mov    esi,0x190
   0x00000000004ac0e2 <+530>:	mov    rdi,rbp
   0x00000000004ac0e5 <+533>:	call   0x4abcf0 <ast_http_error>
   0x00000000004ac0ea <+538>:	lock dec DWORD PTR [rip+0x31c873]        # 0x7c8964 <session_count>
   0x00000000004ac0f1 <+545>:	test   r13,r13
   0x00000000004ac0f4 <+548>:	je     0x4abf10 <httpd_helper_thread+64>
   0x00000000004ac0fa <+554>:	mov    rdi,r13
   0x00000000004ac0fd <+557>:	call   0x474870 <ast_variables_destroy>
   0x00000000004ac102 <+562>:	jmp    0x4abf10 <httpd_helper_thread+64>
   0x00000000004ac107 <+567>:	nop
   0x00000000004ac108 <+568>:	mov    esi,0x3a
   0x00000000004ac10d <+573>:	mov    rdi,r12
   0x00000000004ac110 <+576>:	call   0x41d0b0 <strchr@plt>
   0x00000000004ac115 <+581>:	test   rax,rax
   0x00000000004ac118 <+584>:	je     0x4ac048 <httpd_helper_thread+376>
   0x00000000004ac11e <+590>:	mov    rsi,rax
   0x00000000004ac121 <+593>:	mov    BYTE PTR [rax],0x0
   0x00000000004ac124 <+596>:	inc    rsi
   0x00000000004ac127 <+599>:	je     0x4ac048 <httpd_helper_thread+376>
   0x00000000004ac12d <+605>:	movzx  eax,BYTE PTR [rax+0x1]
   0x00000000004ac131 <+609>:	lea    edx,[rax-0x1]
   0x00000000004ac134 <+612>:	cmp    dl,0x1f
   0x00000000004ac137 <+615>:	ja     0x4ac14e <httpd_helper_thread+638>
   0x00000000004ac139 <+617>:	nop    DWORD PTR [rax+0x0]
   0x00000000004ac140 <+624>:	inc    rsi
   0x00000000004ac143 <+627>:	movzx  eax,BYTE PTR [rsi]
   0x00000000004ac146 <+630>:	lea    edx,[rax-0x1]
   0x00000000004ac149 <+633>:	cmp    dl,0x1f
   0x00000000004ac14c <+636>:	jbe    0x4ac140 <httpd_helper_thread+624>
   0x00000000004ac14e <+638>:	test   al,al
   0x00000000004ac150 <+640>:	je     0x4ac048 <httpd_helper_thread+376>
   0x00000000004ac156 <+646>:	cmp    BYTE PTR [r12],0x0
   0x00000000004ac15b <+651>:	je     0x4ac048 <httpd_helper_thread+376>
   0x00000000004ac161 <+657>:	mov    rdx,r12
   0x00000000004ac164 <+660>:	mov    ecx,DWORD PTR [rdx]
   0x00000000004ac166 <+662>:	add    rdx,0x4
   0x00000000004ac16a <+666>:	lea    eax,[rcx-0x1010101]
   0x00000000004ac170 <+672>:	not    ecx
   0x00000000004ac172 <+674>:	and    eax,ecx
   0x00000000004ac174 <+676>:	and    eax,0x80808080
   0x00000000004ac179 <+681>:	je     0x4ac164 <httpd_helper_thread+660>
   0x00000000004ac17b <+683>:	mov    ecx,eax
   0x00000000004ac17d <+685>:	shr    ecx,0x10
   0x00000000004ac180 <+688>:	test   eax,0x8080
   0x00000000004ac185 <+693>:	cmove  eax,ecx
   0x00000000004ac188 <+696>:	lea    rcx,[rdx+0x2]
   0x00000000004ac18c <+700>:	cmove  rdx,rcx
   0x00000000004ac190 <+704>:	add    al,al
   0x00000000004ac192 <+706>:	mov    rax,r12
   0x00000000004ac195 <+709>:	sbb    rdx,0x3
   0x00000000004ac199 <+713>:	sub    rdx,r12
   0x00000000004ac19c <+716>:	dec    rdx
   0x00000000004ac19f <+719>:	add    rax,rdx
   0x00000000004ac1a2 <+722>:	jb     0x4ac1c0 <httpd_helper_thread+752>
   0x00000000004ac1a4 <+724>:	cmp    BYTE PTR [rsp+rdx*1+0x1040],0x20
   0x00000000004ac1ac <+732>:	jbe    0x4ac1b5 <httpd_helper_thread+741>
   0x00000000004ac1ae <+734>:	jmp    0x4ac1c0 <httpd_helper_thread+752>
   0x00000000004ac1b0 <+736>:	cmp    BYTE PTR [rax],0x20
   0x00000000004ac1b3 <+739>:	ja     0x4ac1c0 <httpd_helper_thread+752>
   0x00000000004ac1b5 <+741>:	mov    BYTE PTR [rax],0x0
   0x00000000004ac1b8 <+744>:	dec    rax
   0x00000000004ac1bb <+747>:	cmp    rax,r12
   0x00000000004ac1be <+750>:	jae    0x4ac1b0 <httpd_helper_thread+736>
   0x00000000004ac1c0 <+752>:	test   r13,r13
   0x00000000004ac1c3 <+755>:	mov    edx,0x55e7af
   0x00000000004ac1c8 <+760>:	mov    rdi,r12
   0x00000000004ac1cb <+763>:	je     0x4ac406 <httpd_helper_thread+1334>
   0x00000000004ac1d1 <+769>:	call   0x474030 <ast_variable_new>
   0x00000000004ac1d6 <+774>:	mov    QWORD PTR [r14+0x10],rax
   0x00000000004ac1da <+778>:	mov    r14,rax
   0x00000000004ac1dd <+781>:	jmp    0x4ac048 <httpd_helper_thread+376>
   0x00000000004ac1e2 <+786>:	cmp    DWORD PTR [rip+0x338313],0x1        # 0x7e44fc <option_debug>
   0x00000000004ac1e9 <+793>:	jg     0x4ac429 <httpd_helper_thread+1369>
   0x00000000004ac1ef <+799>:	test   BYTE PTR [rip+0x2fcf8c],0x80        # 0x7a9182 <ast_options+2>
   0x00000000004ac1f6 <+806>:	jne    0x4ac416 <httpd_helper_thread+1350>
   0x00000000004ac1fc <+812>:	mov    esi,0x3f
   0x00000000004ac201 <+817>:	mov    rdi,rbx
   0x00000000004ac204 <+820>:	xor    r14d,r14d
   0x00000000004ac207 <+823>:	call   0x41d0b0 <strchr@plt>
   0x00000000004ac20c <+828>:	test   rax,rax
   0x00000000004ac20f <+831>:	je     0x4ac304 <httpd_helper_thread+1076>
   0x00000000004ac215 <+837>:	mov    r15,rax
   0x00000000004ac218 <+840>:	mov    BYTE PTR [rax],0x0
   0x00000000004ac21b <+843>:	inc    r15
   0x00000000004ac21e <+846>:	je     0x4ac304 <httpd_helper_thread+1076>
   0x00000000004ac224 <+852>:	mov    QWORD PTR [rsp+0x20],0x0
   0x00000000004ac22d <+861>:	jmp    0x4ac27a <httpd_helper_thread+938>
   0x00000000004ac22f <+863>:	nop
   0x00000000004ac230 <+864>:	mov    rdi,rax
   0x00000000004ac233 <+867>:	call   0x4aaa50 <http_decode>
   0x00000000004ac238 <+872>:	mov    rdi,r15
   0x00000000004ac23b <+875>:	call   0x4aaa50 <http_decode>
   0x00000000004ac240 <+880>:	mov    rsi,QWORD PTR [rsp+0x18]
   0x00000000004ac245 <+885>:	mov    edx,0x53f3af
   0x00000000004ac24a <+890>:	mov    rdi,r15
   0x00000000004ac24d <+893>:	call   0x474030 <ast_variable_new>
   0x00000000004ac252 <+898>:	test   rax,rax
   0x00000000004ac255 <+901>:	je     0x4ac26e <httpd_helper_thread+926>
   0x00000000004ac257 <+903>:	test   r14,r14
   0x00000000004ac25a <+906>:	je     0x4ac2f3 <httpd_helper_thread+1059>
   0x00000000004ac260 <+912>:	mov    rdx,QWORD PTR [rsp+0x20]
   0x00000000004ac265 <+917>:	mov    QWORD PTR [rsp+0x20],rax
   0x00000000004ac26a <+922>:	mov    QWORD PTR [rdx+0x10],rax
   0x00000000004ac26e <+926>:	test   r12,r12
   0x00000000004ac271 <+929>:	je     0x4ac304 <httpd_helper_thread+1076>
   0x00000000004ac277 <+935>:	mov    r15,r12
   0x00000000004ac27a <+938>:	mov    esi,0x26
   0x00000000004ac27f <+943>:	mov    rdi,r15
   0x00000000004ac282 <+946>:	call   0x41d0b0 <strchr@plt>
   0x00000000004ac287 <+951>:	test   rax,rax
   0x00000000004ac28a <+954>:	mov    r12,rax
   0x00000000004ac28d <+957>:	je     0x4ac295 <httpd_helper_thread+965>
   0x00000000004ac28f <+959>:	mov    BYTE PTR [rax],0x0
   0x00000000004ac292 <+962>:	inc    r12
   0x00000000004ac295 <+965>:	mov    esi,0x3d
   0x00000000004ac29a <+970>:	mov    rdi,r15
   0x00000000004ac29d <+973>:	call   0x41d0b0 <strchr@plt>
   0x00000000004ac2a2 <+978>:	test   rax,rax
   0x00000000004ac2a5 <+981>:	je     0x4ac2b8 <httpd_helper_thread+1000>
   0x00000000004ac2a7 <+983>:	mov    BYTE PTR [rax],0x0
   0x00000000004ac2aa <+986>:	inc    rax
   0x00000000004ac2ad <+989>:	mov    QWORD PTR [rsp+0x18],rax
   0x00000000004ac2b2 <+994>:	jne    0x4ac230 <httpd_helper_thread+864>
   0x00000000004ac2b8 <+1000>:	mov    QWORD PTR [rsp+0x18],0x53f3af
   0x00000000004ac2c1 <+1009>:	jmp    0x4ac238 <httpd_helper_thread+872>
   0x00000000004ac2c6 <+1014>:	movzx  edx,BYTE PTR [rbx]
   0x00000000004ac2c9 <+1017>:	mov    rax,rbx
   0x00000000004ac2cc <+1020>:	cmp    dl,0x20
   0x00000000004ac2cf <+1023>:	jbe    0x4ac2e3 <httpd_helper_thread+1043>
   0x00000000004ac2d1 <+1025>:	nop    DWORD PTR [rax+0x0]
   0x00000000004ac2d8 <+1032>:	inc    rax
