gdb-peda$ disas 0x00007ffff745ae88
Dump of assembler code for function _IO_file_underflow:
   0x00007ffff745ad60 <+0>:	push   rbp
   0x00007ffff745ad61 <+1>:	push   rbx
   0x00007ffff745ad62 <+2>:	mov    rbx,rdi
   0x00007ffff745ad65 <+5>:	sub    rsp,0x8
   0x00007ffff745ad69 <+9>:	mov    eax,DWORD PTR [rdi]
   0x00007ffff745ad6b <+11>:	test   al,0x4
   0x00007ffff745ad6d <+13>:	jne    0x7ffff745af30 <_IO_file_underflow+464>
   0x00007ffff745ad73 <+19>:	mov    rdx,QWORD PTR [rdi+0x8]
   0x00007ffff745ad77 <+23>:	cmp    rdx,QWORD PTR [rdi+0x10]
   0x00007ffff745ad7b <+27>:	jb     0x7ffff745aec0 <_IO_file_underflow+352>
   0x00007ffff745ad81 <+33>:	cmp    QWORD PTR [rdi+0x38],0x0
   0x00007ffff745ad86 <+38>:	je     0x7ffff745aee8 <_IO_file_underflow+392>
   0x00007ffff745ad8c <+44>:	test   eax,0x202
   0x00007ffff745ad91 <+49>:	je     0x7ffff745ae50 <_IO_file_underflow+240>
   0x00007ffff745ad97 <+55>:	mov    rbp,QWORD PTR [rip+0x33ea92]        # 0x7ffff7799830 <stdout>
   0x00007ffff745ad9e <+62>:	mov    edx,DWORD PTR [rbp+0x0]
   0x00007ffff745ada1 <+65>:	mov    rdi,rbp
   0x00007ffff745ada4 <+68>:	mov    eax,edx
   0x00007ffff745ada6 <+70>:	and    eax,0x8000
   0x00007ffff745adab <+75>:	jne    0x7ffff745adfe <_IO_file_underflow+158>
   0x00007ffff745adad <+77>:	mov    rdx,QWORD PTR [rbp+0x88]
   0x00007ffff745adb4 <+84>:	mov    r8,QWORD PTR fs:0x10
   0x00007ffff745adbd <+93>:	cmp    r8,QWORD PTR [rdx+0x8]
   0x00007ffff745adc1 <+97>:	je     0x7ffff745adf8 <_IO_file_underflow+152>
   0x00007ffff745adc3 <+99>:	mov    esi,0x1
   0x00007ffff745adc8 <+104>:	cmp    DWORD PTR [rip+0x3433e5],0x0        # 0x7ffff779e1b4
   0x00007ffff745adcf <+111>:	je     0x7ffff745addd <_IO_file_underflow+125>
   0x00007ffff745add1 <+113>:	lock cmpxchg DWORD PTR [rdx],esi
   0x00007ffff745add5 <+117>:	jne    0x7ffff745b3b9
   0x00007ffff745addb <+123>:	jmp    0x7ffff745ade6 <_IO_file_underflow+134>
   0x00007ffff745addd <+125>:	cmpxchg DWORD PTR [rdx],esi
   0x00007ffff745ade0 <+128>:	jne    0x7ffff745b3b9
   0x00007ffff745ade6 <+134>:	mov    rdx,QWORD PTR [rbp+0x88]
   0x00007ffff745aded <+141>:	mov    rdi,QWORD PTR [rip+0x33ea3c]        # 0x7ffff7799830 <stdout>
   0x00007ffff745adf4 <+148>:	mov    QWORD PTR [rdx+0x8],r8
   0x00007ffff745adf8 <+152>:	add    DWORD PTR [rdx+0x4],0x1
   0x00007ffff745adfc <+156>:	mov    edx,DWORD PTR [rdi]
   0x00007ffff745adfe <+158>:	and    edx,0x288
   0x00007ffff745ae04 <+164>:	cmp    edx,0x280
   0x00007ffff745ae0a <+170>:	je     0x7ffff745af18 <_IO_file_underflow+440>
   0x00007ffff745ae10 <+176>:	mov    eax,DWORD PTR [rbp+0x0]
   0x00007ffff745ae13 <+179>:	test   ah,0x80
   0x00007ffff745ae16 <+182>:	jne    0x7ffff745ae50 <_IO_file_underflow+240>
   0x00007ffff745ae18 <+184>:	mov    rdx,QWORD PTR [rbp+0x88]
   0x00007ffff745ae1f <+191>:	mov    eax,DWORD PTR [rdx+0x4]
   0x00007ffff745ae22 <+194>:	sub    eax,0x1
   0x00007ffff745ae25 <+197>:	test   eax,eax
   0x00007ffff745ae27 <+199>:	mov    DWORD PTR [rdx+0x4],eax
   0x00007ffff745ae2a <+202>:	jne    0x7ffff745ae50 <_IO_file_underflow+240>
   0x00007ffff745ae2c <+204>:	mov    QWORD PTR [rdx+0x8],0x0
   0x00007ffff745ae34 <+212>:	cmp    DWORD PTR [rip+0x343379],0x0        # 0x7ffff779e1b4
   0x00007ffff745ae3b <+219>:	je     0x7ffff745ae48 <_IO_file_underflow+232>
   0x00007ffff745ae3d <+221>:	lock dec DWORD PTR [rdx]
   0x00007ffff745ae40 <+224>:	jne    0x7ffff745b3d4
   0x00007ffff745ae46 <+230>:	jmp    0x7ffff745ae50 <_IO_file_underflow+240>
   0x00007ffff745ae48 <+232>:	dec    DWORD PTR [rdx]
   0x00007ffff745ae4a <+234>:	jne    0x7ffff745b3d4
   0x00007ffff745ae50 <+240>:	mov    rdi,rbx
